borough,census_tract,total_households,median_household_income
Queens,004300,1087,15456
Queens,004401,955,35344
Queens,004402,59,39018
Queens,004500,1523,49668
Queens,004700,1856,23984
Queens,004900,217,42150
Queens,005000,27,27411
Queens,005100,867,36020
Queens,005200,683,33220
Queens,005300,2499,38240
Queens,005400,1679,44958
Queens,005500,388,33611
Queens,005700,1889,35290
Queens,005800,2045,46563
Queens,005900,1924,41520
Queens,006100,2971,31010
Queens,006200,5302,45261
Queens,006300,2787,32730
Queens,006500,3689,37169
Queens,006700,385,53036
Queens,006900,1668,35620
Queens,007100,1796,35909
Queens,007300,2200,42019
Queens,007500,2208,30983
Queens,007700,449,39340
Queens,007900,1114,33807
Queens,008100,273,29650
Queens,008300,1031,35781
Queens,008600,904,45431
Queens,008700,1483,14755
Queens,008800,1038,46691
Queens,009100,1242,41000
Queens,009400,934,36341
Queens,009500,1016,39828
Queens,009600,963,40406
Queens,009700,1515,51495
Queens,009800,857,39943
Queens,009900,0,0
Queens,010000,963,55601
Queens,010100,1144,50806
Queens,010200,861,43589
Queens,010300,2079,37413
Queens,010400,970,41750
Queens,010500,1764,23125
Queens,010600,947,45396
Queens,010700,44,4792
Queens,010800,827,54073
Queens,011000,864,39122
Queens,011100,1307,41406
Queens,011200,654,43015
Queens,011300,2008,33279
Queens,011400,406,28571
Queens,011500,1476,36684
Queens,011600,645,41772
Queens,011700,1867,41067
Queens,011800,634,37179
Queens,011900,794,37500
Queens,012000,723,45750
Queens,012100,1011,44375
Queens,012200,941,37804
Queens,012300,1229,45536
Queens,012400,881,44438
Queens,012601,702,44722
Queens,012602,739,46466
Queens,012800,735,47969
Queens,013000,533,38598
Queens,013200,641,32361
Queens,013400,2496,40286
Queens,013500,775,39583
Queens,013600,885,58281
Queens,013700,598,34545
Queens,013800,1385,45863
Queens,014000,1421,41887
Queens,014100,794,30542
Queens,014201,1218,32068
Queens,014202,721,37625
Queens,014300,1783,34515
Queens,014400,612,40125
Queens,014500,973,37813
Queens,014700,1383,44125
Queens,014800,659,32475
Queens,014900,1078,44630
Queens,015000,733,37684
Queens,015100,1191,39788
Queens,015200,695,45240
Queens,015300,1090,40665
Queens,015400,690,41848
Queens,015500,1000,39864
Queens,015600,915,42583
Queens,015700,640,30903
Queens,015800,2366,42329
Queens,015900,2010,33936
Queens,016100,931,45383
Queens,016300,1660,25102
Queens,016400,927,55625
Queens,016600,1064,42791
Queens,016800,825,45296
Queens,016900,2414,43205
Queens,017000,715,47202
Queens,017100,0,0
Queens,017200,640,38438
Queens,017400,666,57500
Queens,017600,608,41321
Queens,017800,557,45313
Queens,017900,445,29250
Queens,018000,302,50278
Queens,018100,3757,34932
Queens,018200,652,33194
Queens,018300,2826,42299
Queens,018401,696,31477
Queens,018402,613,50625
Queens,018500,3223,38482
Queens,018600,480,52639
Queens,018700,1226,41275
Queens,018800,384,44306
Queens,018900,1354,38000
Queens,019000,652,38241
Queens,019100,0,0
Queens,019200,650,39519
Queens,019401,311,58203
Queens,019402,470,43971
Queens,019600,820,39340
Queens,019700,205,44659
Queens,019800,838,26667
Queens,020200,408,48276
Queens,020400,589,28848
Queens,020501,116,41731
Queens,020502,287,41106
Queens,020600,421,36446
Queens,020800,730,40000
Queens,021200,714,28571
Queens,021400,1985,43254
Queens,021600,2159,42648
Queens,021900,18,76250
Queens,022001,2635,43177
Queens,022002,2121,42399
Queens,022900,0,0
Queens,023000,556,49500
Queens,023200,1553,47131
Queens,023500,2567,33280
Queens,023600,731,40230
Queens,023800,1451,30746
Queens,024000,1651,31943
Queens,024300,1809,39981
Queens,024400,0,0
Queens,024500,2097,41395
Queens,024600,1,2499
Queens,024700,462,44000
Queens,024800,264,32813
Queens,024900,1998,36526
Queens,025000,11,15208
Queens,025100,2150,38143
Queens,025200,1934,21085
Queens,025300,3075,33682
Queens,025500,744,47143
Queens,025700,543,34375
Queens,025800,429,32292
Queens,025900,1058,36091
Queens,026000,549,22466
Queens,026100,2293,36104
Queens,026200,303,51307
Queens,026300,2007,33838
Queens,026400,694,39483
Queens,026500,1450,34127
Queens,026600,807,16010
Queens,026700,2045,36342
Queens,026900,3095,31733
Queens,027000,405,47614
Queens,027100,2709,34206
Queens,027200,557,31756
Queens,027300,2449,35310
Queens,027400,586,41270
Queens,027500,2161,36048
Queens,027600,365,34926
Queens,027700,2906,38074
Queens,027800,829,22528
Queens,027900,2347,42822
Queens,028000,507,47596
Queens,028100,2413,41962
Queens,028200,420,51714
Queens,028300,3087,40025
Queens,028400,1030,55114
Queens,028500,2155,46276
Queens,028700,2802,37895
Queens,028800,1310,44348
Queens,028900,2097,41639
Queens,029100,2471,36892
Queens,029200,1932,42988
Queens,029300,395,38438
Queens,029500,1682,44231
Queens,029700,652,44643
Queens,029900,0,0
Queens,030400,999,55586
Queens,030901,3299,48398
Queens,030902,2667,41018
Queens,031700,2490,45833
Queens,032000,1002,46696
Queens,032700,1128,39881
Queens,032800,764,55625
Queens,032900,1080,47917
Queens,033000,1959,48706
Queens,033100,0,0
Queens,033401,696,50833
Queens,033402,6104,39792
Queens,033700,1039,34427
Queens,033900,1221,38281
Queens,034700,968,42321
Queens,035100,1507,36250
Queens,035200,798,50313
Queens,035300,824,34135
Queens,035500,910,39727
Queens,035800,1273,51960
Queens,036100,762,35000
Queens,036300,599,50094
Queens,036500,910,35625
Queens,036600,940,42333
Queens,036700,894,42976
Queens,036800,799,49955
Queens,036900,353,45040
Queens,037100,467,48821
Queens,037300,667,39688
Queens,037500,1001,38594
Queens,037600,1968,46549
Queens,037700,888,27708
Queens,037900,1176,32451
Queens,038100,1539,33516
Queens,038300,901,51766
Queens,038400,766,57708
Queens,039400,923,48493
Queens,039800,568,62708
Queens,039900,971,32340
Queens,040000,380,47222
Queens,040100,1552,36517
Queens,040200,518,47955
Queens,040300,1491,35551
Queens,040400,1308,37034
Queens,040500,803,34871
Queens,040700,1905,33750
Queens,040900,1270,40208
Queens,041000,128,63846
Queens,041100,883,35938
Queens,041300,936,36744
Queens,041400,1187,34540
Queens,041500,983,36741
Queens,042000,274,74167
Queens,042200,516,63750
Queens,042600,0,0
Queens,042700,1113,36652
Queens,043200,352,61875
Queens,043400,611,31645
Queens,043700,2887,35182
Queens,043900,1049,34297
Queens,044000,1011,35179
Queens,044200,641,22460
Queens,044300,2580,31361
Queens,044601,914,29038
Queens,044602,1324,31394
Queens,044800,764,47976
Queens,045000,605,49934
Queens,045200,236,47386
Queens,045400,1440,46154
Queens,045500,4662,35320
Queens,045600,357,51528
Queens,045700,1063,45197
Queens,045800,587,49279
Queens,045900,1229,41325
Queens,046000,1895,30053
Queens,046100,739,36250
Queens,046200,1895,36840
Queens,046300,1052,38929
Queens,046400,486,60179
Queens,046500,1085,43867
Queens,046600,1306,51979
Queens,046700,2013,29394
Queens,046800,1182,35200
Queens,046900,2740,37425
Queens,047000,1007,45592
Queens,047100,1229,28393
Queens,047200,1329,57765
Queens,047300,1459,40604
Queens,047500,1411,41495
Queens,047600,481,94820
Queens,047800,2169,44777
Queens,047900,1788,36066
Queens,048000,708,51071
Queens,048100,1880,37143
Queens,048200,402,49773
Queens,048300,1228,32288
Queens,048400,1508,45577
Queens,048500,1455,37651
Queens,048900,419,39750
Queens,049200,1933,37928
Queens,049301,680,43600
Queens,049302,1030,50031
Queens,049500,521,42227
Queens,049600,932,57143
Queens,049700,974,41892
Queens,049900,1410,44900
Queens,050000,1195,38125
Queens,050201,429,52596
Queens,050202,390,60227
Queens,050400,545,42708
Queens,050500,588,51827
Queens,050600,467,51033
Queens,050700,1348,53220
Queens,050800,585,46250
Queens,051000,432,58750
Queens,051100,835,49704
Queens,051200,784,54130
Queens,051300,761,41514
Queens,051500,1204,40793
Queens,051600,644,59038
Queens,051700,703,33073
Queens,051800,543,55361
Queens,052000,513,44750
Queens,052100,760,48807
Queens,052200,454,71364
Queens,052400,606,43819
Queens,052500,660,45583
Queens,052600,568,45227
Queens,052700,1041,41250
Queens,052800,452,47188
Queens,052900,295,36464
Queens,053000,648,46056
Queens,053200,546,57162
Queens,053400,535,52708
Queens,053500,416,31071
Queens,053600,659,52883
Queens,053800,549,64554
Queens,053900,1300,37296
Queens,054000,1213,56425
Queens,054200,1522,53846
Queens,054500,1252,24841
Queens,054700,1356,30850
Queens,054800,682,62216
Queens,054900,1593,30295
Queens,055100,1623,29275
Queens,055200,1133,50568
Queens,055300,713,33925
Queens,055400,811,56352
Queens,055500,666,30938
Queens,055600,659,56250
Queens,055700,1373,33970
Queens,055800,492,73824
Queens,055900,374,32292
Queens,056000,503,48542
Queens,056100,0,0
Queens,056200,410,64375
Queens,056400,570,55435
Queens,056500,367,29917
Queens,056600,495,53550
Queens,056700,1449,51544
Queens,056800,1558,48400
Queens,057700,1351,38185
Queens,057800,910,50625
Queens,057900,671,32625
Queens,058000,1169,55750
Queens,058100,1044,35909
Queens,058300,1206,39783
Queens,058500,1474,35268
Queens,058700,1319,35589
Queens,058800,380,45417
Queens,058900,1616,30078
Queens,059000,388,65192
Queens,059100,1977,34544
Queens,059200,430,53672
Queens,059300,1505,35547
Queens,059400,548,68833
Queens,059500,1605,35828
Queens,059600,534,65469
Queens,059800,581,54484
Queens,059900,574,50391
Queens,060000,388,65000
Queens,060100,788,47188
Queens,060200,330,57045
Queens,060300,655,50847
Queens,060400,362,55476
Queens,060600,493,59875
Queens,060700,486,52321
Queens,060800,488,66964
Queens,061000,377,73750
Queens,061200,536,76408
Queens,061300,1830,42722
Queens,061400,395,63482
Queens,061601,729,71144
Queens,061602,532,56310
Queens,061800,580,55375
Queens,061900,1071,42788
Queens,062000,552,59688
Queens,062100,999,46008
Queens,062300,689,45845
Queens,062400,225,65885
Queens,062500,946,47600
Queens,062600,834,54412
Queens,062700,1068,42292
Queens,062900,1060,36563
Queens,063000,522,65000
Queens,063200,775,60150
Queens,063301,624,47500
Queens,063302,530,46250
Queens,063500,914,49333
Queens,063700,1183,50938
Queens,063800,1167,58164
Queens,063900,1147,45323
Queens,064101,871,31012
Queens,064102,63,46635
Queens,064500,770,47763
Queens,064600,974,58333
Queens,065000,943,63359
Queens,065400,801,60542
Queens,065500,373,52250
Queens,065600,1307,55923
Queens,065701,749,52765
Queens,065702,660,46161
Queens,065900,753,61063
Queens,066000,864,65153
Queens,066100,682,52273
Queens,066300,1027,60817
Queens,066400,3004,59375
Queens,066500,1209,52163
Queens,066700,821,52450
Queens,066900,702,54167
Queens,067101,478,49808
Queens,067102,419,56932
Queens,067700,706,65982
Queens,067900,1617,35430
Queens,068000,1340,66071
Queens,068200,398,63548
Queens,068300,1530,40205
Queens,068700,1865,39308
Queens,069000,1025,51131
Queens,069300,1263,38353
Queens,069400,912,51229
Queens,069500,919,52031
Queens,069701,1694,31832
Queens,069702,2105,55048
Queens,070300,1284,52019
Queens,070700,780,60250
Queens,070900,1009,62663
Queens,071100,2300,51336
Queens,071301,5689,46543
Queens,071302,5182,46750
Queens,071600,18,47750
Queens,071700,4456,39845
Queens,071900,981,35382
Queens,072100,2322,33402
Queens,072500,23,153712
Queens,072700,312,92378
Queens,072900,527,49635
Queens,073100,717,57096
Queens,073300,308,101129
Queens,073500,282,119027
Queens,073700,1129,51367
Queens,073900,2728,55000
Queens,074100,1571,49625
Queens,074300,1772,36824
Queens,074500,1593,28750
Queens,074700,854,56125
Queens,075700,4940,56267
Queens,076600,209,16473
Queens,076800,143,51094
Queens,076901,1837,56172
Queens,076902,682,47105
Queens,077100,333,100833
Queens,077300,954,59605
Queens,077500,1027,48451
Queens,077901,3633,39070
Queens,077902,1865,56862
Queens,077903,1086,46610
Queens,077904,2268,53708
Queens,077905,1074,56059
Queens,078800,449,48523
Queens,079000,909,32578
Queens,079200,711,38664
Queens,079300,0,0
Queens,079700,4437,37897
Queens,079900,1068,52500
Queens,080301,1302,38556
Queens,080302,1040,61452
Queens,080900,2796,47867
Queens,081400,999,52730
Queens,081800,1019,49631
Queens,083700,1737,49766
Queens,083800,1512,52179
Queens,084000,1975,47908
Queens,084500,1918,32609
Queens,084601,952,43167
Queens,084602,221,53646
Queens,085100,2168,32235
Queens,085300,2161,30886
Queens,085500,2692,33343
Queens,085700,1922,30984
Queens,085900,1808,37027
Queens,086100,913,36289
Queens,086300,2494,36005
Queens,086400,735,60505
Queens,086500,1825,25395
Queens,086700,301,33583
Queens,087100,672,23306
Queens,087500,106,35682
Queens,088400,2928,60056
Queens,088901,3858,34107
Queens,088902,133,61250
Queens,089200,3081,57108
Queens,090700,390,45956
Queens,091601,1866,58276
Queens,091602,5,85489
Queens,091800,0,0
Queens,091900,1703,49926
Queens,092200,815,90929
Queens,092500,1158,42802
Queens,092800,1287,82745
Queens,092900,1908,51211
Queens,093400,3327,42133
Queens,093800,1901,37902
Queens,093900,1354,45893
Queens,094201,683,26580
Queens,094202,1107,17917
Queens,094203,2515,34844
Queens,094500,1452,62870
Queens,094700,753,50929
Queens,095200,322,15714
Queens,096200,907,40219
Queens,096400,893,46445
Queens,097201,2816,18450
Queens,097202,1043,27535
Queens,097300,833,63828
Queens,098100,666,53281
Queens,098700,996,50122
Queens,099100,2926,62341
Queens,099200,884,25179
Queens,099701,1263,52756
Queens,099702,6965,58253
Queens,099800,4951,29920
Queens,099900,0,0
Queens,100800,2808,43513
Queens,101001,2916,23721
Queens,101002,1523,13776
Queens,101700,2492,47647
Queens,102900,1282,49722
Queens,103201,1759,22904
Queens,103202,1794,34942
Queens,103300,1533,57165
Queens,103900,2236,54366
Queens,104700,2860,48395
Queens,105900,1338,51196
Queens,107201,938,51818
Queens,107202,0,0
Queens,108101,321,75086
Queens,108102,344,56172
Queens,108300,675,54050
Queens,109100,721,71576
Queens,109700,716,66071
Queens,109900,1131,54656
Queens,111300,924,76890
Queens,112300,840,46964
Queens,112900,948,66500
Queens,113300,687,62125
Queens,113900,1456,53468
Queens,114100,878,70455
Queens,114700,634,80822
Queens,115100,417,82453
Queens,115500,774,41471
Queens,115700,1268,48500
Queens,115900,1367,39899
Queens,116100,1455,34273
Queens,116300,2856,32500
Queens,116700,663,36895
Queens,117100,1032,34470
Queens,117500,1927,48027
Queens,118100,651,49680
Queens,118500,733,39219
Queens,118700,807,40938
Queens,118900,742,41105
Queens,119100,1015,41503
Queens,119300,836,36173
Queens,119500,411,66741
Queens,119900,513,54458
Queens,120100,487,36645
Queens,120300,514,54000
Queens,120500,979,33405
Queens,120700,920,49688
Queens,121100,0,0
Queens,121500,1281,40285
Queens,122300,1189,51935
Queens,122701,3855,50008
Queens,122702,2714,23079
Queens,124100,1264,59096
Queens,124700,1213,66473
Queens,125700,1031,52541
Queens,126500,637,60250
Queens,126700,675,57750
Queens,127300,401,72112
Queens,127500,811,91873
Queens,128300,11,112820
Queens,129101,3875,51997
Queens,129102,1226,69474
Queens,130100,1583,46680
Queens,131900,0,0
Queens,133300,1402,79397
Queens,133900,435,81614
Queens,134100,1105,70636
Queens,134700,3982,50661
Queens,136700,2436,45846
Queens,137700,2259,51272
Queens,138501,1531,59526
Queens,138502,0,0
Queens,139900,587,72639
Queens,140300,787,58220
Queens,140901,322,66250
Queens,140902,817,60644
Queens,141701,1474,61324
Queens,141702,130,45385
Queens,142900,1289,64153
Queens,143500,779,61125
Queens,144100,1176,57794
Queens,144700,945,43586
Queens,145101,483,67917
Queens,145102,864,52061
Queens,145900,1026,58125
Queens,146300,998,47552
Queens,146700,1260,52280
Queens,147100,1312,54432
Queens,147900,1604,61530
Queens,148300,1076,85183
Queens,150701,1114,73229
Queens,150702,1206,61579
Queens,152901,2520,59762
Queens,152902,2173,55101
Queens,155101,1599,55724
Queens,155102,3406,50637
Queens,156700,49,6771
Queens,157101,2616,60117
Queens,157102,485,66103
Queens,157901,1794,58226
Queens,157902,1199,65774
Queens,157903,1379,52188
Queens,161700,1485,63250
Queens,162100,2015,53812
Queens,162200,0,0
Staten Island,000300,636,37813
Staten Island,000600,1212,41000
Staten Island,000700,2040,35843
Staten Island,000800,1721,51404
Staten Island,000900,845,35703
Staten Island,001100,1261,37321
Staten Island,001500,351,49531
Staten Island,001700,570,44444
Staten Island,001800,382,33409
Staten Island,002001,936,50859
Staten Island,002002,1199,51741
Staten Island,002100,1097,39967
Staten Island,002700,336,30227
Staten Island,002900,1598,17019
Staten Island,003300,1243,55568
Staten Island,003600,708,50671
Staten Island,003900,1055,48271
Staten Island,004000,3700,30616
Staten Island,004700,1032,57500
Staten Island,005000,1408,48600
Staten Island,005900,1135,59811
Staten Island,006400,1295,40069
Staten Island,006500,748,65776
Staten Island,007000,2446,51510
Staten Island,007400,1279,30604
Staten Island,007500,1091,49393
Staten Island,007700,503,43583
Staten Island,008100,1512,34085
Staten Island,008900,0,0
Staten Island,009100,451,82081
Staten Island,009601,1487,44599
Staten Island,009602,1335,52596
Staten Island,009700,1362,45938
Staten Island,010500,1609,50586
Staten Island,011201,1955,54732
Staten Island,011202,1963,53274
Staten Island,011401,1281,37656
Staten Island,011402,1315,57469
Staten Island,012100,1188,76675
Staten Island,012200,1392,55705
Staten Island,012500,987,42260
Staten Island,012803,3513,45871
Staten Island,012804,1400,47794
Staten Island,013201,631,67898
Staten Island,013203,2007,63533
Staten Island,013204,1926,59250
Staten Island,013301,560,12300
Staten Island,013302,802,36042
Staten Island,013400,1494,64542
Staten Island,013800,2357,66932
Staten Island,014100,851,41528
Staten Island,014603,3032,64892
Staten Island,014604,2403,56152
Staten Island,014605,1346,63222
Staten Island,014606,2251,61024
Staten Island,014700,1431,62964
Staten Island,015100,1996,60152
Staten Island,015400,0,0
Staten Island,015601,2355,61463
Staten Island,015602,1212,72292
Staten Island,015603,1593,62534
Staten Island,016901,1071,68403
Staten Island,016902,338,110375
Staten Island,017005,1381,66348
Staten Island,017006,3228,65526
Staten Island,017007,1108,57500
Staten Island,017008,2661,71632
Staten Island,017009,1551,75457
Staten Island,017010,3004,67774
Staten Island,017300,948,39609
Staten Island,017600,1554,75710
Staten Island,017700,2045,83031
Staten Island,017900,939,75604
Staten Island,018500,117,8170
Staten Island,018701,624,57763
Staten Island,018702,2247,61377
Staten Island,018901,2019,57538
Staten Island,018902,1609,67269
Staten Island,019600,1695,66345
Staten Island,019700,688,72935
Staten Island,020100,1202,62095
Staten Island,020700,1470,32759
Staten Island,020801,2764,60528
Staten Island,020803,1726,70885
Staten Island,020804,1790,71927
Staten Island,021300,1323,50101
Staten Island,021900,288,25556
Staten Island,022300,725,35804
Staten Island,022600,1807,61278
Staten Island,023100,973,46827
Staten Island,023600,16,37222
Staten Island,023900,909,54301
Staten Island,024400,2900,68073
Staten Island,024700,907,41964
Staten Island,024800,1366,57209
Staten Island,025100,2177,63750
Staten Island,027301,1339,62989
Staten Island,027302,1230,68017
Staten Island,027702,2644,50164
Staten Island,027703,3076,56346
Staten Island,027704,1326,58804
Staten Island,027900,497,73875
Staten Island,029102,805,57708
Staten Island,029103,2765,61954
Staten Island,029104,2355,62260
Staten Island,030301,1714,49962
Staten Island,030302,1890,51867
Staten Island,031901,1009,26821
Staten Island,031902,1326,32234
Staten Island,032300,446,51071
